,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DataElements_4_Value,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0,1365.0
DataElements_5_Key,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID,cma.u16_DefaultDownloadCANID
DataElements_5_Value,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
DataElements_6_Key,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType,cma.u16_AppType
DataElements_6_Value,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
DataElements_7_Key,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer,cma.u16_AppMajSWVer
DataElements_7_Value,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
DataElements_8_Key,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer,cma.u16_AppMinSWVer
DataElements_8_Value,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
DataElements_9_Key,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize,cma.u16_AppSize
DataElements_9_Value,46518.0,37451.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0,17442.0
DataElements_10_Key,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd,cma.u32_AppStartAdd
DataElements_10_Value,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0,4030482.0
DataElements_11_Key,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate,cma.u32_AppBuildDate
DataElements_11_Value,495634402.0,831178722.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0,92981218.0
DataElements_12_Key,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate,cma.u32_AppFlashDate
DataElements_12_Value,825010147.0,2773198819.0,2706089955.0,2370545635.0,2571872227.0,2638981091.0,2504763363.0,2571872227.0,2437654499.0,97888227.0,970303459.0,30779363.0,1037412323.0,970303459.0,97888227.0
DataElements_13_Key,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer,cma.u16_ODMajVer
DataElements_13_Value,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
DataElements_14_Key,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer,cma.u16_ODMinVer
DataElements_14_Value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
DataElements_15_Key,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC,cma.u32_AppCRC
DataElements_15_Value,3212387678.0,28918754.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0,2661715408.0
DataElements_16_Key,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC,cma.u32_APDBCRC
DataElements_16_Value,1107600408.0,2473843647.0,1346360749.0,310103339.0,918133777.0,1031349987.0,720917255.0,918133777.0,557378037.0,142801666.0,1707345996.0,54673904.0,1845801662.0,1707345996.0,142801666.0
DataElements_17_Key,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex,cma.u16_DeviceIndex
DataElements_17_Value,255.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
DataElements_18_Key,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID,cma.u16_UploadCANID
DataElements_18_Value,1365.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0
DataElements_19_Key,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID,cma.u16_DownloadCANID
DataElements_19_Value,1963.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0
DataElements_20_Key,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey,cma.u16_DownloadModeKey
DataElements_20_Value,255.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0,65535.0
DataElements_21_Key,cma.u32_AvailableFlow_LPM,cma.u16_VCDitherPer_us,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1,cma.u32_ModeDemSP1
DataElements_21_Value,552.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_22_Key,cma.u16_V2SIPublishRate1,cma.u16_VCDitherAmp_percent,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2,cma.u32_ModeDemSP2
DataElements_22_Value,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_23_Key,cma.u16_V2SIPublishRate2,cma.u8_VCDitherEnable,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS,cma.u32_ModeDemSP1FS
DataElements_23_Value,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_24_Key,cma.u16_V2SIPublishRate3,cma.u32_ModeDem,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS,cma.u32_ModeDemSP2FS
DataElements_24_Value,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_25_Key,cma.u16_V2SIPublishRate4,cma.u32_ValveState,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1,cma.u32_JValveStateWP1
DataElements_25_Value,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_26_Key,cma.u16_V2SIPublishRate5,cma.u32_COModeDemUser,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2,cma.u32_JValveStateWP2
DataElements_26_Value,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_27_Key,cma.u16_V2SIPublishRate6,cma.u8_OutputWarnings,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV,cma.u16_COValveStatePV
DataElements_27_Value,480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_28_Key,cma.u16_V2SIPublishRate7,cma.u8_OutputInformations,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1,cma.u16_COValveStateWP1
DataElements_28_Value,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_29_Key,cma.u16_MaxModeDemAge,cma.u8_FactorySettings,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2,cma.u16_COValveStateWP2
DataElements_29_Value,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_30_Key,cma.u16_MaxAvailableFlowAge,cma.u16_PowerCycle,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1,cma.u32_COModeDemUserSP1
DataElements_30_Value,333.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_31_Key,cma.u8_OutputWarnings,cma.u32_SysConfigDataCRC,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2,cma.u32_COModeDemUserSP2
DataElements_31_Value,1.0,3577627872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_32_Key,cma.u8_OutputInformations,cma.u32_CalDataCRC,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us,cma.u16_VCDitherPer_us
DataElements_32_Value,0.0,2501394440.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
DataElements_33_Key,cma.u8_J1939DeviceNameArbitraryAddressCapable,cma.u32_IL32bitCRC,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent,cma.u16_VCDitherAmp_percent
DataElements_33_Value,1.0,3852295109.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
DataElements_34_Key,cma.u8_J1939DeviceNameIndustryGroup,cma.u32_IL16bitCRC,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable,cma.u8_VCDitherEnable
DataElements_34_Value,0.0,336338328.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DataElements_35_Key,cma.u8_J1939DeviceNameVehicleSystemInstance,cma.u32_TrainingDone,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings,cma.u8_OutputWarnings
DataElements_35_Value,0.0,1514493267.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DataElements_36_Key,cma.u8_J1939DeviceNameVehicleSystem,cma.u32_AirbleedingDone,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations,cma.u8_OutputInformations
DataElements_36_Value,0.0,1514493267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_37_Key,cma.u8_J1939DeviceNameReserved,cma.u32_BlockBoundaryDone,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings,cma.u8_FactorySettings
DataElements_37_Value,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DataElements_38_Key,cma.u8_J1939DeviceNameFunction,cma.u32_CoilPolarityReversalDone,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1,cma.u32_WP1Name1
DataElements_38_Value,25.0,0.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,4294967295.0,4294967295.0,4294967295.0,4294967295.0,4294967295.0,4294967295.0
DataElements_39_Key,cma.u8_J1939DeviceNameFunctionInstance,cma.u16_LastEventIndex,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2,cma.u32_WP1Name2
DataElements_39_Value,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_40_Key,cma.u8_J1939DeviceNameECUInstance,cma.u16_CRCStatus,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3,cma.u32_WP1Name3
DataElements_40_Value,0.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_41_Key,cma.u16_J1939DeviceNameManufacturerCode,cma.u16_RWAddress,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4,cma.u32_WP1Name4
DataElements_41_Value,16.0,33132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_42_Key,cma.u32_J1939DeviceNameIdentityNumber,cma.u32_RWData,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1,cma.u32_WP2Name1
DataElements_42_Value,0.0,971789773.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,1464873216.0,4294967295.0,4294967295.0,4294967295.0,4294967295.0,4294967295.0,4294967295.0
DataElements_43_Key,cma.u8_J1939PreferredAddress,cma.u8_UpdateTrainedParamFlag,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2,cma.u32_WP2Name2
DataElements_43_Value,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_44_Key,cma.u8_J1939ClaimedAddress,cma.u8_CalibrationDone,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3,cma.u32_WP2Name3
DataElements_44_Value,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
